Animal,Dam,Sire,Family_text,Family_Number,Treatment,Size,Score,Aragonite,Predicted_mortality
 S.COARL2.01.01,F1,M1,one,1,SW,77.26,D,2,
 S.COARL2.01.02,F1,M1,one,1,SW,70.77,E,2,
 S.COARL2.01.03,F1,M1,one,1,SW,76.26,D,2,
 S.COARL2.01.04,F1,M1,one,1,SW,75.16,E,2,
 S.COARL2.01.05,F1,M1,one,1,SW,71.56,C,2,
 S.COARL2.01.06,F1,M1,one,1,SW,71.73,G,2,
 S.COARL2.01.07,F1,M1,one,1,SW,74.56,E,2,
 S.COARL2.01.08,F1,M1,one,1,SW,75.2,B,2,
 S.COARL2.01.09,F1,M1,one,1,SW,72.24,D,2,
 S.COARL2.01.10,F1,M1,one,1,SW,70.52,G,2,
 S.COARL2.01.11,F1,M1,one,1,SW,74.59,A,2,
 S.COARL2.01.12,F1,M1,one,1,SW,72.08,C,2,
 S.COARL2.01.13,F1,M1,one,1,SW,69.18,E,2,
 S.COARL2.01.14,F1,M1,one,1,SW,70.04,E,2,
 S.COARL2.01.15,F1,M1,one,1,SW,75.4,G,2,
 S.COARL2.01.16,F1,M1,one,1,SW,76.57,C,2,
 S.COARL2.01.17,F1,M1,one,1,SW,77.9,E,2,
 S.COARL2.01.18,F1,M1,one,1,SW,72.72,D,2,
 S.COARL2.01.19,F1,M1,one,1,SW,57.16,G,2,
 S.COARL2.01.20,F1,M1,one,1,SW,71.46,D,2,
 S.COARL2.01.21,F1,M1,one,1,SW,74.79,C,2,
 S.COARL2.01.22,F1,M1,one,1,SW,70.17,D,2,
 S.COARL2.01.23,F1,M1,one,1,SW,72.69,B,2,
 S.COARL2.01.24,F1,M1,one,1,SW,74.54,E,2,
 S.COARL2.01.25,F1,M1,one,1,SW,59.74,G,2,
 S.COARL2.01.26,F1,M1,one,1,SW,73.04,A,2,
 S.COARL2.01.27,F1,M1,one,1,SW,69.52,D,2,
 S.COARL2.01.28,F1,M1,one,1,SW,68.78,G,2,
 S.COARL2.01.29,F1,M1,one,1,SW,71.06,E,2,
 S.COARL2.01.30,F1,M1,one,1,SW,77.85,B,2,
 S.COARL2.02.01,F2,M1,two,2,SW,74.82,G,2,
 S.COARL2.02.02,F2,M1,two,2,SW,76.84,G,2,
 S.COARL2.02.03,F2,M1,two,2,SW,70.15,G,2,
 S.COARL2.02.04,F2,M1,two,2,SW,77.72,G,2,
 S.COARL2.02.05,F2,M1,two,2,SW,75.9,G,2,
 S.COARL2.02.06,F2,M1,two,2,SW,77.84,G,2,
 S.COARL2.02.07,F2,M1,two,2,SW,72.95,G,2,
 S.COARL2.02.08,F2,M1,two,2,SW,70.51,D,2,
 S.COARL2.02.09,F2,M1,two,2,SW,70.02,D,2,
 S.COARL2.02.10,F2,M1,two,2,SW,74.13,D,2,
 S.COARL2.02.11,F2,M1,two,2,SW,78,G,2,
 S.COARL2.02.12,F2,M1,two,2,SW,71.83,G,2,
 S.COARL2.02.13,F2,M1,two,2,SW,70.52,G,2,
 S.COARL2.02.14,F2,M1,two,2,SW,78.68,G,2,
 S.COARL2.02.15,F2,M1,two,2,SW,74.9,G,2,
 S.COARL2.02.16,F2,M1,two,2,SW,78.41,G,2,
 S.COARL2.02.17,F2,M1,two,2,SW,81.55,G,2,
 S.COARL2.02.18,F2,M1,two,2,SW,80.01,G,2,
 S.COARL2.02.19,F2,M1,two,2,SW,77.67,G,2,
 S.COARL2.02.20,F2,M1,two,2,SW,78.8,D,2,
 S.COARL2.02.21,F2,M1,two,2,SW,76.28,G,2,
 S.COARL2.02.22,F2,M1,two,2,SW,76.08,G,2,
 S.COARL2.02.23,F2,M1,two,2,SW,81.5,D,2,
 S.COARL2.02.24,F2,M1,two,2,SW,76.8,G,2,
 S.COARL2.02.25,F2,M1,two,2,SW,77.66,G,2,
 S.COARL2.02.26,F2,M1,two,2,SW,76.83,G,2,
 S.COARL2.02.27,F2,M1,two,2,SW,78.32,G,2,
 S.COARL2.02.28,F2,M1,two,2,SW,77.44,G,2,
 S.COARL2.02.29,F2,M1,two,2,SW,79.73,G,2,
 S.COARL2.02.30,F2,M1,two,2,SW,76.86,G,2,
 S.COARL2.03.01,F2,M2,three,3,SW,71.04,G,2,
 S.COARL2.03.02,F2,M2,three,3,SW,75.53,G,2,
 S.COARL2.03.03,F2,M2,three,3,SW,64.35,B,2,
 S.COARL2.03.04,F2,M2,three,3,SW,76.11,G,2,
 S.COARL2.03.05,F2,M2,three,3,SW,73.72,G,2,
 S.COARL2.03.06,F2,M2,three,3,SW,78.39,G,2,
 S.COARL2.03.07,F2,M2,three,3,SW,75.43,G,2,
 S.COARL2.03.08,F2,M2,three,3,SW,79.22,G,2,
 S.COARL2.03.09,F2,M2,three,3,SW,75.01,G,2,
 S.COARL2.03.10,F2,M2,three,3,SW,70.17,G,2,
 S.COARL2.03.11,F2,M2,three,3,SW,75.45,G,2,
 S.COARL2.03.12,F2,M2,three,3,SW,76.56,G,2,
 S.COARL2.03.13,F2,M2,three,3,SW,77.2,G,2,
 S.COARL2.03.14,F2,M2,three,3,SW,73.48,G,2,
 S.COARL2.03.15,F2,M2,three,3,SW,73.87,G,2,
 S.COARL2.03.16,F2,M2,three,3,SW,71.94,G,2,
 S.COARL2.03.17,F2,M2,three,3,SW,75.48,G,2,
 S.COARL2.03.18,F2,M2,three,3,SW,76.42,G,2,
 S.COARL2.03.19,F2,M2,three,3,SW,77.51,G,2,
 S.COARL2.03.20,F2,M2,three,3,SW,74.07,G,2,
 S.COARL2.03.21,F2,M2,three,3,SW,78.38,G,2,
 S.COARL2.03.22,F2,M2,three,3,SW,74.79,D,2,
 S.COARL2.03.23,F2,M2,three,3,SW,74.92,G,2,
 S.COARL2.03.24,F2,M2,three,3,SW,78.39,G,2,
 S.COARL2.03.25,F2,M2,three,3,SW,78.45,G,2,
 S.COARL2.03.26,F2,M2,three,3,SW,76.9,G,2,
 S.COARL2.03.27,F2,M2,three,3,SW,79.42,G,2,
 S.COARL2.03.28,F2,M2,three,3,SW,78.11,G,2,
 S.COARL2.03.29,F2,M2,three,3,SW,80.24,G,2,
 S.COARL2.03.30,F2,M2,three,3,SW,77.21,G,2,
 S.COARL2.04.01,F3,M1,four,4,SW,72.42,G,2,
 S.COARL2.04.02,F3,M1,four,4,SW,69.91,E,2,
 S.COARL2.04.03,F3,M1,four,4,SW,67.78,E,2,
 S.COARL2.04.04,F3,M1,four,4,SW,70.59,B,2,
 S.COARL2.04.05,F3,M1,four,4,SW,74.84,B,2,
 S.COARL2.04.06,F3,M1,four,4,SW,69.4,C,2,
 S.COARL2.04.07,F3,M1,four,4,SW,71.04,G,2,
 S.COARL2.04.08,F3,M1,four,4,SW,68.66,B,2,
 S.COARL2.04.09,F3,M1,four,4,SW,74,E,2,
 S.COARL2.04.10,F3,M1,four,4,SW,71.2,B,2,
 S.COARL2.04.11,F3,M1,four,4,SW,60.81,C,2,
 S.COARL2.04.12,F3,M1,four,4,SW,67.9,C,2,
 S.COARL2.04.13,F3,M1,four,4,SW,74.54,G,2,
 S.COARL2.04.14,F3,M1,four,4,SW,71.73,E,2,
 S.COARL2.04.15,F3,M1,four,4,SW,68.79,B,2,
 S.COARL2.04.16,F3,M1,four,4,SW,70.08,B,2,
 S.COARL2.04.17,F3,M1,four,4,SW,75.57,G,2,
 S.COARL2.04.18,F3,M1,four,4,SW,67.71,E,2,
 S.COARL2.04.19,F3,M1,four,4,SW,70.44,D,2,
 S.COARL2.04.20,F3,M1,four,4,SW,68.22,B,2,
 S.COARL2.04.21,F3,M1,four,4,SW,69,C,2,
 S.COARL2.04.22,F3,M1,four,4,SW,73.23,G,2,
 S.COARL2.04.23,F3,M1,four,4,SW,73.77,G,2,
 S.COARL2.04.24,F3,M1,four,4,SW,75.9,B,2,
 S.COARL2.04.25,F3,M1,four,4,SW,69.64,G,2,
 S.COARL2.04.26,F3,M1,four,4,SW,75.97,C,2,
 S.COARL2.04.27,F3,M1,four,4,SW,72.05,E,2,
 S.COARL2.04.28,F3,M1,four,4,SW,72.39,E,2,
 S.COARL2.04.29,F3,M1,four,4,SW,70.42,E,2,
 S.COARL2.04.30,F3,M1,four,4,SW,69.89,E,2,
 S.COARL2.05.01,F3,M2,five,5,SW,70.66,E,2,
 S.COARL2.05.02,F3,M2,five,5,SW,71.22,B,2,
 S.COARL2.05.03,F3,M2,five,5,SW,74.73,B,2,
 S.COARL2.05.04,F3,M2,five,5,SW,76.01,G,2,
 S.COARL2.05.05,F3,M2,five,5,SW,75.99,E,2,
 S.COARL2.05.06,F3,M2,five,5,SW,72.49,E,2,
 S.COARL2.05.07,F3,M2,five,5,SW,69.19,B,2,
 S.COARL2.05.08,F3,M2,five,5,SW,73.99,E,2,
 S.COARL2.05.09,F3,M2,five,5,SW,69.11,B,2,
 S.COARL2.05.10,F3,M2,five,5,SW,70.34,E,2,
 S.COARL2.05.11,F3,M2,five,5,SW,72.9,B,2,
 S.COARL2.05.12,F3,M2,five,5,SW,70.79,B,2,
 S.COARL2.05.13,F3,M2,five,5,SW,69.89,G,2,
 S.COARL2.05.14,F3,M2,five,5,SW,68.35,G,2,
 S.COARL2.05.15,F3,M2,five,5,SW,72.08,B,2,
 S.COARL2.05.16,F3,M2,five,5,SW,70.42,E,2,
 S.COARL2.05.17,F3,M2,five,5,SW,73.3,E,2,
 S.COARL2.05.18,F3,M2,five,5,SW,71.91,E,2,
 S.COARL2.05.19,F3,M2,five,5,SW,68.35,B,2,
 S.COARL2.05.20,F3,M2,five,5,SW,75.55,E,2,
 S.COARL2.05.21,F3,M2,five,5,SW,72.1,B,2,
 S.COARL2.05.22,F3,M2,five,5,SW,66.75,B,2,
 S.COARL2.05.23,F3,M2,five,5,SW,70.73,B,2,
 S.COARL2.05.24,F3,M2,five,5,SW,69.23,B,2,
 S.COARL2.05.25,F3,M2,five,5,SW,71.22,B,2,
 S.COARL2.05.26,F3,M2,five,5,SW,64.66,B,2,
 S.COARL2.05.27,F3,M2,five,5,SW,73.79,B,2,
 S.COARL2.05.28,F3,M2,five,5,SW,66.7,E,2,
 S.COARL2.05.29,F3,M2,five,5,SW,75.54,B,2,
 S.COARL2.05.30,F3,M2,five,5,SW,71.52,B,2,
 S.COARL2.06.01,F3,M3,six,6,SW,74.23,E,2,
 S.COARL2.06.02,F3,M3,six,6,SW,73,G,2,
 S.COARL2.06.03,F3,M3,six,6,SW,76.59,G,2,
 S.COARL2.06.04,F3,M3,six,6,SW,72.17,G,2,
 S.COARL2.06.05,F3,M3,six,6,SW,72.25,D,2,
 S.COARL2.06.06,F3,M3,six,6,SW,73.43,E,2,
 S.COARL2.06.07,F3,M3,six,6,SW,68.24,D,2,
 S.COARL2.06.08,F3,M3,six,6,SW,73.24,E,2,
 S.COARL2.06.09,F3,M3,six,6,SW,70.98,E,2,
 S.COARL2.06.10,F3,M3,six,6,SW,67.99,G,2,
 S.COARL2.06.11,F3,M3,six,6,SW,74.16,G,2,
 S.COARL2.06.12,F3,M3,six,6,SW,71.29,E,2,
 S.COARL2.06.13,F3,M3,six,6,SW,75.29,E,2,
 S.COARL2.06.14,F3,M3,six,6,SW,73.22,B,2,
 S.COARL2.06.15,F3,M3,six,6,SW,75.04,B,2,
 S.COARL2.06.16,F3,M3,six,6,SW,73.23,G,2,
 S.COARL2.06.17,F3,M3,six,6,SW,72.32,E,2,
 S.COARL2.06.18,F3,M3,six,6,SW,72.08,E,2,
 S.COARL2.06.19,F3,M3,six,6,SW,71.73,E,2,
 S.COARL2.06.20,F3,M3,six,6,SW,72.62,E,2,
 S.COARL2.06.21,F3,M3,six,6,SW,69.9,G,2,
 S.COARL2.06.22,F3,M3,six,6,SW,68.6,E,2,
 S.COARL2.06.23,F3,M3,six,6,SW,76.52,C,2,
 S.COARL2.06.24,F3,M3,six,6,SW,73.64,B,2,
 S.COARL2.06.25,F3,M3,six,6,SW,71.38,E,2,
 S.COARL2.06.26,F3,M3,six,6,SW,69.01,G,2,
 S.COARL2.06.27,F3,M3,six,6,SW,72.92,E,2,
 S.COARL2.06.28,F3,M3,six,6,SW,69.32,E,2,
 S.COARL2.06.29,F3,M3,six,6,SW,73.43,G,2,
 S.COARL2.06.30,F3,M3,six,6,SW,72.9,G,2,
 S.COARL2.07.01,F4,M1,seven,7,SW,78.39,A,2,
 S.COARL2.07.02,F4,M1,seven,7,SW,69.93,E,2,
 S.COARL2.07.03,F4,M1,seven,7,SW,73.22,E,2,
 S.COARL2.07.04,F4,M1,seven,7,SW,78.24,E,2,
 S.COARL2.07.05,F4,M1,seven,7,SW,76.41,E,2,
 S.COARL2.07.06,F4,M1,seven,7,SW,72.42,B,2,
 S.COARL2.07.07,F4,M1,seven,7,SW,80.01,E,2,
 S.COARL2.07.08,F4,M1,seven,7,SW,78.75,B,2,
 S.COARL2.07.09,F4,M1,seven,7,SW,73.53,B,2,
 S.COARL2.07.10,F4,M1,seven,7,SW,72.57,E,2,
 S.COARL2.07.11,F4,M1,seven,7,SW,76.67,A,2,
 S.COARL2.07.12,F4,M1,seven,7,SW,73.53,B,2,
 S.COARL2.07.13,F4,M1,seven,7,SW,65.72,G,2,
 S.COARL2.07.14,F4,M1,seven,7,SW,80.7,B,2,
 S.COARL2.07.15,F4,M1,seven,7,SW,75.92,E,2,
 S.COARL2.07.16,F4,M1,seven,7,SW,79.69,B,2,
 S.COARL2.07.17,F4,M1,seven,7,SW,76.1,C,2,
 S.COARL2.07.18,F4,M1,seven,7,SW,79.29,G,2,
 S.COARL2.07.19,F4,M1,seven,7,SW,76.75,E,2,
 S.COARL2.07.20,F4,M1,seven,7,SW,77.62,G,2,
 S.COARL2.07.21,F4,M1,seven,7,SW,72.57,A,2,
 S.COARL2.07.22,F4,M1,seven,7,SW,73.51,G,2,
 S.COARL2.07.23,F4,M1,seven,7,SW,79.86,A,2,
 S.COARL2.07.24,F4,M1,seven,7,SW,81.36,B,2,
 S.COARL2.07.25,F4,M1,seven,7,SW,76.08,A,2,
 S.COARL2.07.26,F4,M1,seven,7,SW,75.72,A,2,
 S.COARL2.07.27,F4,M1,seven,7,SW,72.42,E,2,
 S.COARL2.07.28,F4,M1,seven,7,SW,76.93,B,2,
 S.COARL2.07.29,F4,M1,seven,7,SW,74.37,G,2,
 S.COARL2.07.30,F4,M1,seven,7,SW,77.25,E,2,
 S.COARL2.08.01,F4,M2,eight,8,SW,80.79,G,2,
 S.COARL2.08.02,F4,M2,eight,8,SW,80.26,G,2,
 S.COARL2.08.03,F4,M2,eight,8,SW,74.45,G,2,
 S.COARL2.08.04,F4,M2,eight,8,SW,75.68,G,2,
 S.COARL2.08.05,F4,M2,eight,8,SW,73.88,C,2,
 S.COARL2.08.06,F4,M2,eight,8,SW,71.95,C,2,
 S.COARL2.08.07,F4,M2,eight,8,SW,78.54,G,2,
 S.COARL2.08.08,F4,M2,eight,8,SW,79.99,C,2,
 S.COARL2.08.09,F4,M2,eight,8,SW,73.99,G,2,
 S.COARL2.08.10,F4,M2,eight,8,SW,75.41,G,2,
 S.COARL2.08.11,F4,M2,eight,8,SW,78.2,G,2,
 S.COARL2.08.12,F4,M2,eight,8,SW,78.92,G,2,
 S.COARL2.08.13,F4,M2,eight,8,SW,80.65,E,2,
 S.COARL2.08.14,F4,M2,eight,8,SW,78.45,G,2,
 S.COARL2.08.15,F4,M2,eight,8,SW,74.9,G,2,
 S.COARL2.08.16,F4,M2,eight,8,SW,75.7,E,2,
 S.COARL2.08.17,F4,M2,eight,8,SW,76.94,E,2,
 S.COARL2.08.18,F4,M2,eight,8,SW,77.83,C,2,
 S.COARL2.08.19,F4,M2,eight,8,SW,79.53,E,2,
 S.COARL2.08.20,F4,M2,eight,8,SW,80.14,G,2,
 S.COARL2.08.21,F4,M2,eight,8,SW,77.23,C,2,
 S.COARL2.08.22,F4,M2,eight,8,SW,78.33,G,2,
 S.COARL2.08.23,F4,M2,eight,8,SW,81.53,G,2,
 S.COARL2.08.24,F4,M2,eight,8,SW,76.23,G,2,
 S.COARL2.08.25,F4,M2,eight,8,SW,78.3,C,2,
 S.COARL2.08.26,F4,M2,eight,8,SW,77.86,G,2,
 S.COARL2.08.27,F4,M2,eight,8,SW,76.51,C,2,
 S.COARL2.08.28,F4,M2,eight,8,SW,74.61,G,2,
 S.COARL2.08.29,F4,M2,eight,8,SW,78.05,G,2,
 S.COARL2.08.30,F4,M2,eight,8,SW,80.52,G,2,
 S.COARL2.09.01,F4,M3,nine,9,SW,79.11,G,2,
 S.COARL2.09.02,F4,M3,nine,9,SW,75.71,G,2,
 S.COARL2.09.03,F4,M3,nine,9,SW,81.91,G,2,
 S.COARL2.09.04,F4,M3,nine,9,SW,82.34,G,2,
 S.COARL2.09.05,F4,M3,nine,9,SW,78.98,G,2,
 S.COARL2.09.06,F4,M3,nine,9,SW,73.85,G,2,
 S.COARL2.09.07,F4,M3,nine,9,SW,77.35,G,2,
 S.COARL2.09.08,F4,M3,nine,9,SW,80,D,2,
 S.COARL2.09.09,F4,M3,nine,9,SW,80.77,G,2,
 S.COARL2.09.10,F4,M3,nine,9,SW,77.66,G,2,
 S.COARL2.09.11,F4,M3,nine,9,SW,76.01,G,2,
 S.COARL2.09.12,F4,M3,nine,9,SW,81.87,D,2,
 S.COARL2.09.13,F4,M3,nine,9,SW,62.55,B,2,
 S.COARL2.09.14,F4,M3,nine,9,SW,77.66,G,2,
 S.COARL2.09.15,F4,M3,nine,9,SW,79.55,G,2,
 S.COARL2.09.16,F4,M3,nine,9,SW,52.72,B,2,
 S.COARL2.09.17,F4,M3,nine,9,SW,79.64,D,2,
 S.COARL2.09.18,F4,M3,nine,9,SW,78.12,G,2,
 S.COARL2.09.19,F4,M3,nine,9,SW,77.53,G,2,
 S.COARL2.09.20,F4,M3,nine,9,SW,78.57,G,2,
 S.COARL2.09.21,F4,M3,nine,9,SW,80.92,G,2,
 S.COARL2.09.22,F4,M3,nine,9,SW,77.95,G,2,
 S.COARL2.09.23,F4,M3,nine,9,SW,63.53,D,2,
 S.COARL2.09.24,F4,M3,nine,9,SW,81.22,G,2,
 S.COARL2.09.25,F4,M3,nine,9,SW,78.58,G,2,
 S.COARL2.09.26,F4,M3,nine,9,SW,83.14,G,2,
 S.COARL2.09.27,F4,M3,nine,9,SW,74.47,C,2,
 S.COARL2.09.28,F4,M3,nine,9,SW,77.89,G,2,
 S.COARL2.09.29,F4,M3,nine,9,SW,77.86,G,2,
 S.COARL2.09.30,F4,M3,nine,9,SW,61.14,B,2,
 S.COARL2.10.01,F4,M4,ten,10,SW,79.25,G,2,
 S.COARL2.10.02,F4,M4,ten,10,SW,84.32,G,2,
 S.COARL2.10.03,F4,M4,ten,10,SW,70.63,F,2,
 S.COARL2.10.04,F4,M4,ten,10,SW,62.18,D,2,
 S.COARL2.10.05,F4,M4,ten,10,SW,72.32,G,2,
 S.COARL2.10.06,F4,M4,ten,10,SW,78.75,G,2,
 S.COARL2.10.07,F4,M4,ten,10,SW,76.88,G,2,
 S.COARL2.10.08,F4,M4,ten,10,SW,81.43,G,2,
 S.COARL2.10.09,F4,M4,ten,10,SW,74.33,G,2,
 S.COARL2.10.10,F4,M4,ten,10,SW,77.95,G,2,
 S.COARL2.10.11,F4,M4,ten,10,SW,79.31,G,2,
 S.COARL2.10.12,F4,M4,ten,10,SW,72.19,D,2,
 S.COARL2.10.13,F4,M4,ten,10,SW,79.38,G,2,
 S.COARL2.10.14,F4,M4,ten,10,SW,80.86,G,2,
 S.COARL2.10.15,F4,M4,ten,10,SW,75.21,D,2,
 S.COARL2.10.16,F4,M4,ten,10,SW,73.32,G,2,
 S.COARL2.10.17,F4,M4,ten,10,SW,77.44,G,2,
 S.COARL2.10.18,F4,M4,ten,10,SW,82.57,G,2,
 S.COARL2.10.19,F4,M4,ten,10,SW,79.64,G,2,
 S.COARL2.10.20,F4,M4,ten,10,SW,76.87,G,2,
 S.COARL2.10.21,F4,M4,ten,10,SW,79.68,G,2,
 S.COARL2.10.22,F4,M4,ten,10,SW,75.53,G,2,
 S.COARL2.10.23,F4,M4,ten,10,SW,78.58,G,2,
 S.COARL2.10.24,F4,M4,ten,10,SW,77.44,G,2,
 S.COARL2.10.25,F4,M4,ten,10,SW,79.7,G,2,
 S.COARL2.10.26,F4,M4,ten,10,SW,77.74,G,2,
 S.COARL2.10.27,F4,M4,ten,10,SW,75.45,G,2,
 S.COARL2.10.28,F4,M4,ten,10,SW,80.26,G,2,
 S.COARL2.10.29,F4,M4,ten,10,SW,74.32,G,2,
 S.COARL2.10.30,F4,M4,ten,10,SW,77.52,D,2,
 S.COARL2.11.01,F5,M2,eleven,11,SW,73.26,G,2,
 S.COARL2.11.02,F5,M2,eleven,11,SW,72.69,G,2,
 S.COARL2.11.03,F5,M2,eleven,11,SW,74.79,D,2,
 S.COARL2.11.04,F5,M2,eleven,11,SW,64.46,A,2,
 S.COARL2.11.05,F5,M2,eleven,11,SW,73.88,A,2,
 S.COARL2.11.06,F5,M2,eleven,11,SW,72.57,G,2,
 S.COARL2.11.07,F5,M2,eleven,11,SW,72.3,D,2,
 S.COARL2.11.08,F5,M2,eleven,11,SW,74.73,G,2,
 S.COARL2.11.09,F5,M2,eleven,11,SW,72.9,G,2,
 S.COARL2.11.10,F5,M2,eleven,11,SW,74.92,C,2,
 S.COARL2.11.11,F5,M2,eleven,11,SW,74.93,A,2,
 S.COARL2.11.12,F5,M2,eleven,11,SW,75.21,G,2,
 S.COARL2.11.13,F5,M2,eleven,11,SW,73.6,G,2,
 S.COARL2.11.14,F5,M2,eleven,11,SW,71.94,A,2,
 S.COARL2.11.15,F5,M2,eleven,11,SW,75.01,G,2,
 S.COARL2.11.16,F5,M2,eleven,11,SW,72.09,A,2,
 S.COARL2.11.17,F5,M2,eleven,11,SW,73.72,E,2,
 S.COARL2.11.18,F5,M2,eleven,11,SW,75.57,G,2,
 S.COARL2.11.19,F5,M2,eleven,11,SW,70.66,B,2,
 S.COARL2.11.20,F5,M2,eleven,11,SW,73.99,B,2,
 S.COARL2.11.21,F5,M2,eleven,11,SW,75.41,E,2,
 S.COARL2.11.22,F5,M2,eleven,11,SW,70.54,E,2,
 S.COARL2.11.23,F5,M2,eleven,11,SW,74.34,E,2,
 S.COARL2.11.24,F5,M2,eleven,11,SW,71.98,D,2,
 S.COARL2.11.25,F5,M2,eleven,11,SW,68.73,A,2,
 S.COARL2.11.26,F5,M2,eleven,11,SW,71.48,E,2,
 S.COARL2.11.27,F5,M2,eleven,11,SW,76.42,G,2,
 S.COARL2.11.28,F5,M2,eleven,11,SW,69.89,C,2,
 S.COARL2.11.29,F5,M2,eleven,11,SW,68.78,G,2,
 S.COARL2.11.30,F5,M2,eleven,11,SW,71.58,D,2,
 S.COARL2.12.01,F5,M3,twelve,12,SW,71.71,G,2,
 S.COARL2.12.02,F5,M3,twelve,12,SW,71.37,A,2,
 S.COARL2.12.03,F5,M3,twelve,12,SW,69.05,B,2,
 S.COARL2.12.04,F5,M3,twelve,12,SW,73.44,A,2,
 S.COARL2.12.05,F5,M3,twelve,12,SW,71.94,G,2,
 S.COARL2.12.06,F5,M3,twelve,12,SW,75.02,G,2,
 S.COARL2.12.07,F5,M3,twelve,12,SW,75.68,B,2,
 S.COARL2.12.08,F5,M3,twelve,12,SW,73.65,A,2,
 S.COARL2.12.09,F5,M3,twelve,12,SW,70.51,A,2,
 S.COARL2.12.10,F5,M3,twelve,12,SW,74.46,A,2,
 S.COARL2.12.11,F5,M3,twelve,12,SW,74.34,A,2,
 S.COARL2.12.12,F5,M3,twelve,12,SW,72.45,A,2,
 S.COARL2.12.13,F5,M3,twelve,12,SW,75.57,A,2,
 S.COARL2.12.14,F5,M3,twelve,12,SW,72.65,E,2,
 S.COARL2.12.15,F5,M3,twelve,12,SW,72.25,C,2,
 S.COARL2.12.16,F5,M3,twelve,12,SW,70.97,A,2,
 S.COARL2.12.17,F5,M3,twelve,12,SW,71.15,B,2,
 S.COARL2.12.18,F5,M3,twelve,12,SW,74.73,B,2,
 S.COARL2.12.19,F5,M3,twelve,12,SW,74.42,E,2,
 S.COARL2.12.20,F5,M3,twelve,12,SW,65.21,G,2,
 S.COARL2.12.21,F5,M3,twelve,12,SW,71.55,E,2,
 S.COARL2.12.22,F5,M3,twelve,12,SW,71.69,A,2,
 S.COARL2.12.23,F5,M3,twelve,12,SW,75.48,E,2,
 S.COARL2.12.24,F5,M3,twelve,12,SW,71.43,G,2,
 S.COARL2.12.25,F5,M3,twelve,12,SW,73.06,G,2,
 S.COARL2.12.26,F5,M3,twelve,12,SW,74.79,E,2,
 S.COARL2.12.27,F5,M3,twelve,12,SW,72.95,D,2,
 S.COARL2.12.28,F5,M3,twelve,12,SW,71.41,B,2,
 S.COARL2.12.29,F5,M3,twelve,12,SW,75.84,G,2,
 S.COARL2.12.30,F5,M3,twelve,12,SW,75.91,G,2,
 S.COARL2.13.01,F5,M4,thirteen,13,SW,70.33,G,2,
 S.COARL2.13.02,F5,M4,thirteen,13,SW,55.62,A,2,
 S.COARL2.13.03,F5,M4,thirteen,13,SW,67.54,E,2,
 S.COARL2.13.04,F5,M4,thirteen,13,SW,72.99,A,2,
 S.COARL2.13.05,F5,M4,thirteen,13,SW,65.08,B,2,
 S.COARL2.13.06,F5,M4,thirteen,13,SW,72.54,A,2,
 S.COARL2.13.07,F5,M4,thirteen,13,SW,72.96,C,2,
 S.COARL2.13.08,F5,M4,thirteen,13,SW,70.06,C,2,
 S.COARL2.13.09,F5,M4,thirteen,13,SW,70.95,A,2,
 S.COARL2.13.10,F5,M4,thirteen,13,SW,68.07,D,2,
 S.COARL2.13.11,F5,M4,thirteen,13,SW,67.64,A,2,
 S.COARL2.13.12,F5,M4,thirteen,13,SW,71.01,A,2,
 S.COARL2.13.13,F5,M4,thirteen,13,SW,74.44,E,2,
 S.COARL2.13.14,F5,M4,thirteen,13,SW,70.45,G,2,
 S.COARL2.13.15,F5,M4,thirteen,13,SW,71.94,E,2,
 S.COARL2.13.16,F5,M4,thirteen,13,SW,73.87,C,2,
 S.COARL2.13.17,F5,M4,thirteen,13,SW,73.45,E,2,
 S.COARL2.13.18,F5,M4,thirteen,13,SW,72.94,D,2,
 S.COARL2.13.19,F5,M4,thirteen,13,SW,74.54,A,2,
 S.COARL2.13.20,F5,M4,thirteen,13,SW,71.71,B,2,
 S.COARL2.13.21,F5,M4,thirteen,13,SW,68.97,G,2,
 S.COARL2.13.22,F5,M4,thirteen,13,SW,64.33,D,2,
 S.COARL2.13.23,F5,M4,thirteen,13,SW,71.98,G,2,
 S.COARL2.13.24,F5,M4,thirteen,13,SW,75.65,G,2,
 S.COARL2.13.25,F5,M4,thirteen,13,SW,72.93,A,2,
 S.COARL2.13.26,F5,M4,thirteen,13,SW,68,A,2,
 S.COARL2.13.27,F5,M4,thirteen,13,SW,75.04,A,2,
 S.COARL2.13.28,F5,M4,thirteen,13,SW,68.46,A,2,
 S.COARL2.13.29,F5,M4,thirteen,13,SW,70.95,A,2,
 S.COARL2.13.30,F5,M4,thirteen,13,SW,68.83,G,2,
 S.COARL2.15.01,F6,M3, fifteen,15,SW,74.35,G,2,
 S.COARL2.15.02,F6,M3, fifteen,15,SW,71.83,E,2,
 S.COARL2.15.03,F6,M3, fifteen,15,SW,69.5,G,2,
 S.COARL2.15.04,F6,M3, fifteen,15,SW,76.21,B,2,
 S.COARL2.15.05,F6,M3, fifteen,15,SW,72.12,B,2,
 S.COARL2.15.06,F6,M3, fifteen,15,SW,64.48,G,2,
 S.COARL2.15.07,F6,M3, fifteen,15,SW,72.39,G,2,
 S.COARL2.15.08,F6,M3, fifteen,15,SW,79.98,B,2,
 S.COARL2.15.09,F6,M3, fifteen,15,SW,69.81,A,2,
 S.COARL2.15.10,F6,M3, fifteen,15,SW,76.54,D,2,
